# unanimous LLM resolutions (>= 10 occurrences, one id-set) - human-skim, then adopt into lemma.overrides.tsv
# 2026-08-02: regenerated from the merged sidecar after the corpus-wide verification sweep
# (freshness backlog + refused giants swept exhaustively; K/N sampled = N-K lines stayed unsure)
form	lemmaIds	evidence
'eill	feill.n	10/10 LLM-unanimous
'leih	sleih.n	33/33 LLM-unanimous
-agh	agh.x	20/20 LLM-unanimous
-jeh	jeh.x	10/10 LLM-unanimous
-lhig	lhig.v	13/13 LLM-unanimous
-ny	ny-adv,ny.x	22/22 LLM-unanimous
aasagh	faasagh.n	329/331 LLM-vote sampled
aase	aase.n,aase.v,n'aas.v	66/66 LLM-unanimous
aash	aash.n	143/143 LLM-unanimous
ainyn	t'ain.v	294/294 LLM-unanimous
anney	anney.n	170/170 LLM-unanimous
annym	annym.n	831/831 LLM-unanimous
arrane	arrane.n	304/305 LLM-vote sampled
arree	arree.a,arree.v	23/25 LLM-vote sampled
arrym	arrym.n	156/156 LLM-unanimous
arrys	arrys.n,arrys.v	632/632 LLM-unanimous
assee	assee.n	156/156 LLM-unanimous
astyr	fastyr.n	210/210 LLM-unanimous
ayds	ayd.x	194/195 LLM-vote sampled
bing	bing.a,bing.n	61/61 LLM-unanimous
boirit	boirit.x	23/23 LLM-unanimous
bollan	bollan.n	21/21 LLM-unanimous
breag	breag.n	17/17 LLM-unanimous
breg	breg.n	45/45 LLM-unanimous
cast	cast.v	12/12 LLM-unanimous
chadjin	cadjin.a	19/19 LLM-unanimous
chaglit	chaglit.x	12/12 LLM-unanimous
chairal	cairal.a	30/30 LLM-unanimous
charrey	carrey.n	193/193 LLM-unanimous
chasherickys	casherickys.n,chasherickys.n	58/58 LLM-unanimous
cheer	cheer.n,cheer.v	1935/1935 LLM-unanimous
chionn	chionn.a,chionn.v	15/15 LLM-unanimous
chionnagh	kionn.v	31/31 LLM-unanimous
chirree	kirree.n	41/41 LLM-unanimous
choodee	chood.v,choodee.a	62/62 LLM-unanimous
chreeney	creeney.a	44/44 LLM-unanimous
