# adversarial audit (2026-07-30) of the cross-POS 'same' verdicts in
# lemma.equivalences.seed.tsv - the mutation-pair and unclassified families,
# 202 pairs; the s'-comparative, n'-verbal and suffix-variant families were
# not audited (structurally derivational, lower risk). Each pair was read
# against the printed entries in cregeen-nvh. refute = two lexemes conflated
# (the verdict in the seed is flipped to distinct); unsure = the print does
# not settle it. 77 refuted, 4 unsure, 121 confirmed.
idA	idB	verdict	evidence
aarkey.n	faarkey.v	refute	aarkey.n is 'yn aarkey' the sea (family F-8, radical faarkey s.m. 'the sea, billow'), but faarkey.v is the separate verb family F-7 'to bathe' (dy aarkey); Cregeen prints sea-noun and bathe-verb as distinct lexemes.
aill.n	faill.v	refute	aill.n's bare-headword entry (A-54) is aill 'wish/pleasure' (family saillym 'I please', baill 'would wish', cha naill 'not wish'); faill.v spans faill 'fail' (F-22, daill 'did fail') and faill 'hire, engage for wages' (F-23), and only the subsidiary 'e aill: his hire, wages' entry belongs with faill.
arkiaght.v	farkiaght.x	confirm	dy arkiaght "to wait" (F-41, etym. from farkiaght) and farkiaght, printed variant of farkiaghey "waiting" (F-41), are the same wait verb with f dropped after dy.
arr.v	arrit.x	confirm	Printed arrit is the participle of arr in both arr families ('offered', pt. of arr 'offer' A-100 with derivedFrom arr, and a bare pt. under arr 'shift' A-101), so arrit names a paradigm form of the arr verb entry(ies) that arr.v covers.
baart.n	paart.x	refute	baart.n is "nyn baart" (your part), eclipsis of the NOUN paart "some, part" (P-6, proper target paart.n), while paart.x is the "cha baart" verb entry "would not part" belonging to the verb paartail/phaart "part, depart" (P-5).
bayr.n	beyr.x	confirm	beyr is Cregeen's printed spelling variant of bayr 'a way, avenue, lane' (both B-61, variant relation, yn veyr 'the lane, way, or avenue').
be.v	bey.x	refute	be.v is the copula family B-65 (dy ve 'to be', er ve 'hath been', bee 'will be'); bey.x is the separate B-64 be/bey printed with dy-be 'for cause, because' and erbey 'because, lit. on cause' - the 'cause' element, not the verb 'to be'.
bee'm.v	vee'm.x	confirm	bee'm "I will be" and my vee'm "if I be" (both family B-65) are 1sg forms of the one verb 'to be', vee'm being the lenited form under my.
bee.v	row.x	confirm	bee v. 'be, will be' and row p. 'wast thou' (with emphatic rows) are both family B-65, row being the dependent past of the substantive verb 'be'.
beg.a	veg.x	confirm	beg a. "little, small" (B-76) and the veg pro. entry printed inside the same B-76 family, which Cregeen glosses as the lenited veg "ALSO understood to mean none or nothing" (cha daag eh veg dou), i.e. an extended use of the same word.
berr.x	verr.v	refute	berr is 'overtake' (B-86), but the verr.v id is the printed verr 'will give, put, send, bring' (C-397, future of cur; its forms verr/verrym/verryms match that entry), while the 'did overtake' verr entry feeds berr.v.
bishaghey.v	bishee.x	confirm	Both family B-116: bishee is 'used for the verb bish, increase, augment, establish' and bishaghey is the verbal noun of the same increase verb.
blass.n	blayst.v	refute	blass.n is the noun entry "taste, savour, flavour" (s.m.), while blayst.v is the verb family (self form vlayst "did taste", preterite of the separate blass v. entry, id blass-2); noun entry conflated with the verb entry.
blass.n	blayst.x	confirm	Both printed blayst entries are bare variant cross-references to blass ('taste, savour, flavour' s.m. and its verb) in the same family B-124.
boayrd.n	buird.a	confirm	boayrd s. m. "a table, a board" and buird a. d. "of a table or tables" is its genitive/attributive case form, both family B-153.
bolg.v	volg.n	refute	bolg.v is the verb 'roast, or raise blisters by fire' (B-166), but volg.n is a noun: 'yn volg' the belly (B-166, radical bolg.n) or the milt (M-121); roast-verb and belly/milt-noun are different lexemes.
boult.v	voult.n	refute	boult.v is the bolt verb (B-189, voult 'did bolt'); voult.n keys the M-section entry 'yn voult: the mutton' (M-115, lenited mohlt 'a mutton') - the B-section 'yn voult: the bolt' already belongs to boult.n - so bolt vs mutton.
bra.n	braa.x	confirm	vra "(from bra) ever, used in poetry" (bra.n) and braa, printed variant of bra "ever, a contraction of bragh" (both B-202), gloss the same adverb 'ever'.
breg.n	breig.v	refute	breg s.f. 'a lie' (B-218, = breag) and breig v. 'coax, endeavour to persuade' (B-229) are separate families with different meanings; a noun 'lie' and a verb 'coax' are distinct lexemes despite the shared root.
buitch.v	wuitch.n	refute	buitch.v is buitçh v. "bewitch(ing)" (B-272), while wuitch.n is wuitçh s. "witch", the mutated form of the NOUN buitçh s. f. "a witch" (proper target buitch.n).
by.x	she.v	confirm	Both are the copula: by is its past/conditional (the printed by entry B-294 is pos-less with no rival sense) and she the present (printed in the be-family B-65 as the affirmative answer); lemma-paradigms.nvh adopts by as a form of she.v.
caashey.n	chaashey.a	confirm	caashey s.m. 'cheese' and e chaashey 'his cheese' are the same C-11 lexeme under lenition.
caddey.x	chaddey.v	confirm	caddey (defend family C-20) and dy chaddey "to defend" (C-20) are unmutated and lenited forms of the one verb 'defend/protect' (cf. caddit "defended, protected").
caghlaa.n	chaghlaa.v	confirm	chaghlaa v. 'did change' is the lenited past of caghlaa 'change' in the same family C-26 as caghlaa s.m. 'change, diversity, alteration' (the verbal noun of the same word).
cah.n	chah.a	confirm	cah s. "battle" and chah a. d. "of battle" is its mutated genitive form, both family C-28.
camm.a	chamm.v	refute	camm.a is the adjective 'crooked' (C-37), but chamm.v is 'did bend', past of the verb camm 'bend' (C-38) whose own id camm.v exists; adjective and bend-verb are separate printed entries.
